property;n;sum;min;max;Gini
http://www.wikidata.org/prop/direct/P1381;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1365;39928;46430;1;17;0.122759855
http://www.wikidata.org/prop/direct/P1383;28000;28606;1;4;0.020789023
http://www.wikidata.org/prop/direct/P1386;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1387;199;3252;1;596;0.900613152
http://www.wikidata.org/prop/direct/P1388;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1389;45;3495;1;2284;0.922613257
http://www.wikidata.org/prop/direct/P1391;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1392;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1394;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1396;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1397;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1398;905;913;1;3;0.008701809
http://www.wikidata.org/prop/direct/P1399;516;9073;1;2563;0.88896671
http://www.wikidata.org/prop/direct/P1400;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1401;1121;1147;1;5;0.022366068
http://www.wikidata.org/prop/direct/P1402;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1382;7895;12640;1;90;0.329895223
http://www.wikidata.org/prop/direct/P1404;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1407;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1344;63621;538084;1;10010;0.786874149
http://www.wikidata.org/prop/direct/P1409;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1410;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1411;2675;43848;1;1036;0.824098611
http://www.wikidata.org/prop/direct/P1412;1374;973220;1;198979;0.984490223
http://www.wikidata.org/prop/direct/P1414;123;1356;1;497;0.843861669
http://www.wikidata.org/prop/direct/P1415;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1346;52895;181326;1;1117;0.611130047
http://www.wikidata.org/prop/direct/P1417;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1418;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1419;254;804;1;90;0.60634818
http://www.wikidata.org/prop/direct/P1420;13700;14157;1;7;0.031606706
http://www.wikidata.org/prop/direct/P1421;93500;93515;1;2;1.60E-04
